,년월,성별,연령대,세종특별자치시,조치원읍,연기면,연동면,부강면,금남면,장군면,연서면,전의면,전동면,소정면,한솔동,새롬동,도담동,아름동,종촌동,고운동,소담동,보람동,대평동,다정동
115,201706,남자,(50~59세),16333,3398,290,362,658,1022,654,758,641,487,267,1717,0,1594,1056,1338,1007,0,1084,0,0
116,201706,남자,(60~69세),9538,2172,208,321,400,819,466,643,444,392,185,646,0,691,429,631,621,0,470,0,0
117,201706,남자,(70~79세),4834,1230,110,165,294,452,254,387,287,235,118,226,0,321,132,296,204,0,123,0,0
118,201706,남자,(80~89세),1780,410,45,83,122,187,118,181,147,92,47,71,0,97,43,66,48,0,23,0,0
119,201706,남자,(90~99세),142,40,6,5,8,17,4,7,10,7,5,8,0,13,5,4,2,0,1,0,0
120,201706,남자,(100세_이상),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,201706,여자,(0~9세),18635,2295,56,101,213,215,136,239,177,54,91,2912,0,2540,2257,2817,2560,0,1972,0,0
122,201706,여자,(10~19세),14755,2329,72,81,235,253,183,237,251,86,127,2464,0,1965,1855,1944,1547,0,1126,0,0
123,201706,여자,(20~29세),13966,2917,145,159,321,465,402,380,312,149,145,1748,0,2026,948,1487,1222,0,1140,0,0
124,201706,여자,(30~39세),25468,3228,129,152,306,440,282,397,261,114,125,3692,0,3772,2701,3838,3454,0,2577,0,0
125,201706,여자,(40~49세),22645,3489,131,172,395,484,317,400,387,186,188,3592,0,3122,2813,2816,2367,0,1786,0,0
126,201706,여자,(50~59세),15122,3200,226,263,523,793,548,650,496,351,219,1612,0,1561,930,1398,1177,0,1175,0,0
127,201706,여자,(60~69세),9908,2285,177,282,447,749,428,568,439,338,166,716,0,843,463,793,732,0,482,0,0
128,201706,여자,(70~79세),6382,1601,147,249,382,602,308,534,421,260,165,328,0,431,212,353,241,0,148,0,0
129,201706,여자,(80~89세),3704,776,111,203,206,406,199,277,257,215,113,194,0,263,126,179,86,0,93,0,0
130,201706,여자,(90~99세),554,119,13,29,23,69,19,49,47,24,8,25,0,39,24,27,22,0,17,0,0
131,201706,여자,(100세_이상),24,5,0,0,1,2,2,1,1,2,2,0,0,1,1,3,2,0,1,0,0
132,201707,남자,(0~9세),19621,2394,62,79,226,247,127,236,194,63,85,3144,0,2682,2394,2838,2777,0,2073,0,0
133,201707,남자,(10~19세),15278,2417,85,111,265,270,193,304,274,98,124,2590,0,2044,1998,1883,1505,0,1117,0,0
134,201707,남자,(20~29세),14557,3458,220,203,463,609,567,523,405,238,189,1818,0,1595,850,1307,1016,0,1096,0,0
